level,xp,badges,quiz_score,code_challenge_score,study_time,interest_visual,interest_backend,interest_math,interest_web,interest_data,interest_cloud,interest_mobile,interest_security,frontend_perf,backend_perf,data_perf,algo_perf,career_path
18,1883,6,0.77,0.9,381,3,5,5,5,5,3,1,3,0.88,0.89,0.5,0.52,fullstack
11,1175,2,0.9,0.45,181,2,4,4,5,1,4,5,3,0.69,0.83,0.74,0.68,cloud
1,116,1,0.55,0.66,11,4,5,2,5,1,3,5,5,0.84,0.82,0.56,0.65,fullstack
9,1064,3,0.8,0.6,208,4,3,3,1,2,4,3,4,0.55,0.84,0.61,0.73,cloud
8,939,1,0.93,0.79,243,5,5,1,5,4,4,3,5,0.59,0.91,0.73,0.68,backend
24,2467,9,0.8,0.63,561,5,2,2,4,1,4,2,4,0.88,0.59,0.59,0.73,frontend
12,1390,6,0.65,0.65,243,4,3,4,3,3,3,1,5,0.52,0.67,0.56,0.75,security
13,1324,6,0.76,0.5,248,4,4,3,5,3,1,4,4,0.81,0.85,0.64,0.74,fullstack
3,444,2,0.9,0.82,111,5,4,5,5,4,5,3,5,0.43,0.64,0.82,0.73,data
21,2107,6,0.56,0.56,468,2,4,5,3,1,4,4,4,0.67,0.66,0.73,0.61,cloud
9,1047,3,0.83,0.7,215,3,5,1,5,1,4,4,3,0.84,0.77,0.66,0.67,fullstack
23,2385,9,0.57,0.48,453,5,4,5,4,5,5,2,4,0.5,0.57,0.87,0.86,data
5,579,0,0.82,0.77,174,2,4,5,1,1,4,3,3,0.61,0.81,0.65,0.57,cloud
13,1353,3,0.75,0.76,243,5,4,5,3,3,1,4,3,0.85,0.47,0.68,0.66,mobile
9,968,4,0.78,0.67,267,5,5,2,3,3,3,4,4,0.83,0.56,0.57,0.59,mobile
23,2269,9,0.7,0.65,469,1,4,4,5,4,5,2,3,0.68,0.73,0.74,0.71,cloud
23,2334,9,0.63,0.69,515,1,4,5,5,5,3,5,4,0.65,0.54,0.8,0.86,data
18,1923,8,0.76,0.51,364,5,4,5,3,2,2,4,2,0.82,0.58,0.5,0.58,mobile
17,1736,4,0.66,0.54,383,5,1,5,4,3,4,4,2,0.95,0.56,0.45,0.52,mobile
9,994,5,0.6,0.47,215,5,4,5,4,4,3,3,1,0.61,0.43,0.89,0.74,data
21,2097,8,0.55,0.86,484,5,4,3,3,3,4,5,4,0.86,0.53,0.59,0.61,mobile
13,1370,6,0.69,0.89,354,5,3,3,5,2,5,5,3,0.66,0.83,0.65,0.75,cloud
22,2300,6,0.65,0.48,512,4,2,1,3,3,4,4,4,0.91,0.54,0.45,0.72,mobile
3,296,1,0.61,0.55,106,1,5,3,5,3,3,5,3,0.69,0.94,0.65,0.72,backend
6,576,2,0.68,0.55,209,4,5,5,4,5,5,3,3,0.87,0.78,0.54,0.63,fullstack
17,1661,5,0.76,0.61,383,5,4,5,4,5,1,4,1,0.52,0.45,0.93,0.8,data
14,1576,4,0.81,0.74,377,5,5,5,1,4,4,5,3,0.62,0.83,0.78,0.52,backend
22,2272,7,0.78,0.59,534,2,4,5,4,5,4,3,5,0.47,0.56,0.82,0.78,data
3,454,3,0.66,0.84,132,4,4,2,4,3,3,3,4,0.62,0.84,0.63,0.64,backend
16,1646,4,0.91,0.65,298,4,5,1,5,2,1,3,1,0.74,0.49,0.58,0.76,frontend
12,1332,6,0.86,0.53,297,4,5,2,4,3,1,5,1,0.84,0.58,0.58,0.52,mobile
14,1402,5,0.91,0.46,333,5,4,4,3,3,4,5,5,0.89,0.48,0.62,0.72,mobile
7,899,3,0.88,0.71,159,5,4,4,3,1,3,5,5,0.84,0.48,0.44,0.62,mobile
22,2170,8,0.68,0.52,475,3,5,4,2,4,3,3,4,0.42,0.82,0.74,0.8,backend
12,1383,6,0.85,0.62,262,5,3,2,3,3,4,3,3,0.49,0.69,0.61,0.78,cloud
12,1150,5,0.75,0.51,240,5,4,2,2,1,5,5,4,0.69,0.81,0.66,0.78,cloud
13,1338,4,0.71,0.68,211,5,5,4,4,4,3,5,3,0.58,0.86,0.71,0.53,backend
16,1582,6,0.67,0.71,386,4,2,5,4,4,5,4,1,0.76,0.48,0.59,0.71,frontend
19,2095,7,0.71,0.52,399,2,3,5,3,4,5,1,3,0.7,0.73,0.67,0.76,cloud
14,1408,5,0.74,0.71,293,2,4,5,1,1,5,2,3,0.55,0.78,0.65,0.5,cloud
23,2495,9,0.77,0.87,524,2,3,3,4,4,1,3,4,0.7,0.61,0.56,0.8,security
24,2534,7,0.86,0.67,527,4,3,5,3,4,1,5,5,0.69,0.51,0.83,0.83,data
10,1183,4,0.67,0.46,258,2,4,2,3,1,4,3,3,0.68,0.74,0.65,0.51,cloud
11,1278,3,0.86,0.65,249,3,4,5,2,5,5,5,3,0.61,0.49,0.83,0.81,data
15,1700,4,0.87,0.48,316,2,4,4,1,5,5,2,1,0.56,0.52,0.83,0.88,data
12,1317,5,0.84,0.65,237,3,1,4,5,1,4,2,1,0.88,0.45,0.69,0.77,frontend
17,1858,7,0.6,0.49,357,4,1,3,5,5,1,3,1,0.84,0.55,0.62,0.72,frontend
1,171,2,0.8,0.58,120,4,4,5,1,4,4,2,4,0.47,0.73,0.6,0.71,cloud
21,2178,8,0.93,0.5,426,4,4,1,5,3,3,5,5,0.84,0.74,0.65,0.69,fullstack
11,1059,4,0.7,0.89,218,4,5,1,3,1,1,4,3,0.84,0.56,0.62,0.51,mobile
15,1513,6,0.79,0.71,375,5,4,1,3,1,5,4,3,0.81,0.46,0.46,0.75,mobile
23,2371,6,0.64,0.68,434,3,3,3,1,2,4,2,5,0.5,0.64,0.45,0.8,security
16,1642,7,0.89,0.59,359,1,3,4,5,1,2,1,4,0.54,0.6,0.59,0.71,security
23,2406,6,0.88,0.87,422,5,4,3,2,4,4,5,5,0.43,0.83,0.72,0.57,backend
11,1097,2,0.74,0.51,246,3,4,3,5,2,4,1,3,0.89,0.89,0.67,0.69,fullstack
23,2365,6,0.88,0.8,527,4,3,5,3,4,3,2,2,0.46,0.63,0.82,0.88,data
7,828,3,0.89,0.56,157,4,3,5,1,4,1,3,3,0.6,0.6,0.82,0.71,data
3,266,0,0.94,0.69,13,2,4,3,4,4,4,1,4,0.64,0.84,0.61,0.7,cloud
9,1026,3,0.76,0.8,280,5,4,4,3,4,3,3,2,0.47,0.42,0.87,0.88,data
8,801,4,0.84,0.74,191,5,4,1,1,3,3,5,4,0.46,0.76,0.64,0.54,backend
11,1293,3,0.79,0.48,308,3,5,4,4,5,5,2,2,0.77,0.78,0.5,0.78,fullstack
22,2175,8,0.73,0.83,392,1,4,4,2,5,2,2,4,0.65,0.7,0.68,0.81,security
23,2368,6,0.68,0.79,548,4,2,2,5,4,3,3,2,0.93,0.51,0.45,0.71,frontend
11,1201,2,0.75,0.54,291,4,3,3,4,3,3,4,4,0.92,0.51,0.44,0.54,mobile
3,426,1,0.59,0.78,33,3,5,3,5,5,4,4,5,0.89,0.71,0.46,0.5,fullstack
8,868,3,0.82,0.53,244,2,4,3,1,2,4,4,4,0.53,0.68,0.68,0.74,security
17,1702,4,0.72,0.79,304,5,4,2,4,5,3,5,2,0.88,0.58,0.48,0.55,mobile
10,1033,5,0.65,0.65,155,3,3,1,1,1,4,5,3,0.63,0.65,0.67,0.78,cloud
17,1879,7,0.83,0.7,314,4,3,2,1,2,4,3,4,0.4,0.7,0.72,0.71,cloud
23,2312,9,0.56,0.48,541,1,4,3,5,2,1,4,4,0.46,0.79,0.68,0.77,security
8,983,4,0.91,0.74,163,3,4,4,5,3,2,5,4,0.86,0.85,0.61,0.68,fullstack
6,768,2,0.86,0.9,194,3,5,2,4,4,3,2,5,0.89,0.75,0.66,0.53,fullstack
23,2335,8,0.7,0.45,470,3,4,1,4,2,3,5,3,0.81,0.88,0.41,0.77,fullstack
2,384,2,0.93,0.88,46,2,3,5,1,1,4,4,4,0.7,0.79,0.75,0.68,cloud
7,749,2,0.89,0.58,163,5,5,2,2,4,4,4,4,0.57,0.85,0.66,0.67,backend
4,460,0,0.58,0.46,71,4,4,4,1,5,5,3,5,0.63,0.57,0.87,0.89,data
16,1637,4,0.69,0.74,399,4,3,1,5,4,5,3,3,0.62,0.82,0.74,0.5,cloud
10,1004,3,0.68,0.55,286,4,4,4,3,4,4,4,2,0.66,0.94,0.69,0.5,backend
10,997,5,0.7,0.6,203,4,3,5,2,4,4,4,3,0.42,0.52,0.95,0.85,data
12,1234,4,0.75,0.74,246,3,5,2,5,3,3,2,4,0.83,0.79,0.61,0.53,fullstack
2,255,2,0.79,0.77,51,4,4,4,5,3,2,5,4,0.82,0.78,0.42,0.61,fullstack
21,2229,9,0.86,0.87,433,3,3,4,5,5,4,4,1,0.71,0.52,0.5,0.66,frontend
12,1210,3,0.87,0.88,298,5,5,1,4,4,3,3,2,0.46,0.76,0.75,0.64,backend
5,547,3,0.56,0.57,113,4,2,1,5,5,5,4,2,0.82,0.45,0.41,0.71,frontend
25,2648,8,0.81,0.88,467,4,5,4,3,5,2,4,1,0.9,0.48,0.49,0.53,mobile
6,675,1,0.67,0.49,128,5,2,2,4,2,1,4,5,0.94,0.45,0.67,0.76,mobile
23,2313,9,0.63,0.88,480,5,3,1,3,3,5,3,3,0.5,0.84,0.75,0.52,cloud
5,582,0,0.71,0.7,140,5,4,4,2,3,2,2,4,0.57,0.72,0.6,0.81,security
22,2249,9,0.75,0.48,402,3,4,5,5,2,1,3,1,0.74,0.57,0.68,0.71,frontend
9,966,2,0.8,0.51,143,3,4,5,4,1,5,3,3,0.88,0.78,0.55,0.55,fullstack
10,984,4,0.77,0.69,255,4,3,4,3,5,1,4,2,0.94,0.52,0.64,0.57,mobile
2,243,0,0.67,0.5,13,3,3,5,4,4,5,1,3,0.69,0.76,0.73,0.61,cloud
11,1203,4,0.64,0.78,229,3,4,2,4,3,4,2,1,0.72,0.6,0.46,0.54,frontend
8,920,1,0.58,0.46,207,1,4,3,2,4,2,2,4,0.43,0.77,0.55,0.78,security
4,539,3,0.76,0.76,151,5,5,4,1,4,3,5,3,0.48,0.81,0.73,0.62,backend
19,2077,5,0.6,0.82,437,4,5,3,4,4,5,4,3,0.77,0.81,0.61,0.63,fullstack
11,1076,4,0.59,0.83,202,4,5,2,4,3,5,4,5,0.88,0.57,0.64,0.8,mobile
6,706,2,0.92,0.88,215,3,1,3,5,5,3,2,4,0.8,0.54,0.48,0.56,frontend
15,1470,4,0.85,0.73,252,5,3,5,3,3,2,5,5,0.82,0.54,0.7,0.64,mobile
24,2456,10,0.59,0.84,444,3,4,4,1,3,3,1,1,0.68,0.82,0.72,0.52,backend
5,482,3,0.72,0.77,91,1,4,3,4,4,4,5,5,0.6,0.73,0.56,0.8,security
6,594,3,0.55,0.81,143,2,5,1,3,3,3,4,5,0.59,0.76,0.73,0.66,backend
9,870,2,0.76,0.88,256,4,3,4,5,5,4,3,4,0.65,0.52,0.8,0.8,data
9,1045,5,0.7,0.77,183,3,4,1,3,3,5,4,4,0.42,0.69,0.68,0.78,cloud
18,1824,5,0.64,0.66,320,5,3,2,5,2,4,2,5,0.84,0.48,0.41,0.63,frontend
8,914,3,0.87,0.58,205,3,5,3,4,4,3,3,4,0.66,0.87,0.71,0.59,backend
6,700,3,0.93,0.68,80,1,3,4,4,5,5,3,1,0.65,0.46,0.94,0.71,data
25,2614,10,0.58,0.57,471,3,3,4,4,2,5,5,4,0.56,0.65,0.7,0.5,cloud
22,2299,9,0.56,0.81,482,3,5,3,5,4,3,1,2,0.68,0.92,0.64,0.54,backend
7,657,1,0.66,0.65,221,2,4,4,2,4,3,4,5,0.52,0.83,0.62,0.68,backend
3,281,2,0.69,0.55,81,4,4,4,4,2,4,1,5,0.9,0.7,0.67,0.76,fullstack
1,206,0,0.92,0.89,52,5,2,2,4,3,5,5,3,0.87,0.59,0.55,0.73,mobile
2,347,2,0.73,0.47,116,3,4,3,4,1,1,1,5,0.42,0.65,0.6,0.82,security
23,2451,8,0.95,0.53,538,3,4,4,5,1,2,2,5,0.76,0.77,0.47,0.79,fullstack
17,1741,7,0.92,0.86,418,3,3,4,4,5,3,4,5,0.44,0.71,0.51,0.79,security
20,2181,8,0.87,0.89,470,2,4,3,3,3,5,1,4,0.58,0.67,0.68,0.77,security
2,262,0,0.58,0.77,84,3,3,3,5,1,5,5,4,0.56,0.68,0.45,0.77,security
15,1576,6,0.83,0.65,313,2,4,3,3,4,4,2,5,0.68,0.67,0.48,0.83,security
7,789,2,0.6,0.47,233,4,5,1,5,1,5,5,2,0.83,0.82,0.67,0.77,fullstack
4,449,2,0.82,0.48,132,3,4,5,4,5,1,3,4,0.85,0.82,0.41,0.65,fullstack
7,718,4,0.7,0.75,121,3,3,2,3,5,4,3,4,0.47,0.73,0.65,0.67,cloud
2,234,0,0.7,0.83,40,2,3,4,1,5,3,1,4,0.55,0.68,0.7,0.78,security
20,1987,7,0.76,0.47,351,3,5,3,4,3,2,4,4,0.83,0.83,0.67,0.5,fullstack
12,1185,5,0.71,0.49,204,5,4,4,2,4,4,5,4,0.5,0.8,0.8,0.55,backend
16,1741,5,0.61,0.6,339,2,4,3,2,3,3,4,5,0.43,0.8,0.61,0.62,backend
23,2483,6,0.56,0.59,470,4,5,5,3,3,2,4,5,0.84,0.58,0.49,0.56,mobile
25,2594,9,0.6,0.85,513,5,4,2,2,3,5,3,4,0.44,0.85,0.61,0.51,cloud
22,2277,6,0.73,0.85,503,4,4,3,4,2,1,3,3,0.92,0.48,0.53,0.69,frontend
3,432,0,0.79,0.74,14,5,5,3,4,4,5,3,1,0.91,0.55,0.4,0.76,frontend
17,1675,5,0.85,0.7,350,4,4,5,5,5,3,5,1,0.85,0.73,0.44,0.53,fullstack
22,2336,8,0.81,0.68,470,5,5,4,5,3,1,3,1,0.92,0.51,0.48,0.7,frontend
6,674,3,0.61,0.48,218,4,4,4,2,5,1,5,4,0.69,0.72,0.7,0.85,security
6,756,1,0.71,0.79,146,3,4,1,4,2,1,5,1,0.85,0.7,0.68,0.51,fullstack
2,175,2,0.75,0.52,132,4,5,4,5,2,1,1,4,0.78,0.73,0.47,0.75,fullstack
4,515,1,0.58,0.59,151,4,4,3,1,3,4,3,4,0.43,0.84,0.68,0.55,backend
7,807,3,0.83,0.46,239,4,1,4,5,5,3,2,5,0.73,0.44,0.63,0.7,frontend
16,1604,4,0.6,0.56,337,4,4,5,5,1,5,1,3,0.66,0.69,0.68,0.64,cloud
21,2100,9,0.66,0.8,413,1,4,4,2,4,1,3,1,0.62,0.44,0.81,0.78,data
16,1724,4,0.61,0.56,386,4,4,4,3,3,3,3,1,0.69,0.86,0.72,0.62,backend
22,2269,6,0.66,0.7,442,2,3,1,1,5,5,2,4,0.56,0.83,0.63,0.65,cloud
7,739,2,0.71,0.51,95,1,5,3,3,3,3,3,1,0.62,0.93,0.78,0.76,backend
8,762,4,0.92,0.82,159,5,5,2,3,3,4,3,5,0.53,0.79,0.75,0.6,backend
24,2435,9,0.78,0.8,520,4,4,1,5,1,2,5,2,0.8,0.76,0.46,0.52,fullstack
5,525,2,0.57,0.82,58,3,4,4,5,4,1,1,5,0.7,0.46,0.82,0.82,data
24,2582,10,0.85,0.86,493,3,4,1,5,1,1,3,1,0.9,0.82,0.44,0.52,fullstack
25,2568,10,0.76,0.73,599,2,4,3,2,3,3,2,4,0.49,0.66,0.68,0.74,security
16,1767,7,0.65,0.82,345,5,1,5,4,2,3,4,4,0.91,0.45,0.7,0.56,mobile
4,484,2,0.77,0.67,90,4,3,1,3,3,4,5,4,0.9,0.58,0.51,0.61,mobile
5,552,3,0.75,0.7,107,5,4,1,2,4,3,2,1,0.62,0.86,0.7,0.76,backend
19,1874,7,0.68,0.65,466,2,4,1,4,4,4,2,3,0.42,0.67,0.67,0.69,cloud
14,1487,4,0.95,0.81,345,4,5,3,3,5,1,5,2,0.83,0.59,0.61,0.76,mobile
17,1801,7,0.62,0.57,402,4,3,3,3,4,3,2,4,0.45,0.71,0.49,0.75,security
17,1692,6,0.82,0.79,372,4,4,3,3,3,5,3,5,0.49,0.65,0.62,0.77,security
9,867,2,0.58,0.71,160,4,4,1,4,3,3,1,3,0.85,0.75,0.48,0.76,fullstack
17,1764,7,0.79,0.64,381,1,3,5,1,4,4,1,4,0.67,0.61,0.84,0.73,data
11,1254,4,0.83,0.66,285,4,4,1,4,2,1,1,4,0.9,0.83,0.66,0.64,fullstack
23,2358,7,0.63,0.51,473,4,1,4,3,3,2,4,5,0.86,0.51,0.45,0.68,mobile
6,715,4,0.62,0.54,88,4,1,4,4,4,4,3,2,0.9,0.45,0.55,0.56,frontend
8,811,4,0.88,0.64,182,5,4,5,4,4,4,1,5,0.49,0.64,0.83,0.84,data
6,759,1,0.82,0.69,196,3,5,3,4,4,4,2,1,0.78,0.77,0.48,0.67,fullstack
5,623,3,0.62,0.47,104,1,3,3,1,2,4,5,3,0.48,0.82,0.73,0.65,cloud
16,1622,7,0.6,0.48,395,4,1,1,3,4,2,5,1,0.83,0.5,0.54,0.71,mobile
4,529,0,0.86,0.7,70,4,5,1,5,3,4,2,2,0.76,0.81,0.61,0.7,fullstack
17,1651,6,0.79,0.78,396,5,4,2,4,2,2,3,1,0.71,0.51,0.42,0.75,frontend
14,1387,4,0.83,0.6,298,5,5,4,5,4,3,5,2,0.44,0.89,0.73,0.52,backend
2,346,0,0.89,0.49,116,4,4,5,5,1,4,1,4,0.87,0.7,0.63,0.61,fullstack
7,900,4,0.62,0.9,238,4,1,2,4,2,5,5,3,0.82,0.45,0.48,0.55,mobile
24,2418,10,0.57,0.47,503,4,3,3,4,1,1,5,5,0.82,0.57,0.48,0.51,mobile
9,869,5,0.8,0.51,181,4,4,5,5,1,1,1,3,0.85,0.83,0.49,0.67,fullstack
6,726,4,0.79,0.88,124,5,4,3,2,3,4,1,5,0.45,0.84,0.63,0.7,backend
12,1195,6,0.59,0.66,304,1,3,5,3,5,5,1,5,0.59,0.5,0.87,0.71,data
21,2234,8,0.6,0.66,472,4,4,4,4,5,2,1,4,0.86,0.81,0.43,0.67,fullstack
21,2218,9,0.81,0.83,496,5,5,2,4,4,3,5,5,0.9,0.45,0.62,0.74,mobile
19,2039,8,0.69,0.73,379,2,4,3,5,2,1,5,5,0.45,0.78,0.48,0.72,security
8,923,4,0.71,0.88,183,2,4,3,1,2,5,4,4,0.5,0.68,0.61,0.57,cloud
16,1568,4,0.62,0.69,373,4,4,4,1,4,4,2,4,0.69,0.67,0.86,0.72,data
19,1875,6,0.6,0.77,430,2,3,5,1,1,5,2,4,0.56,0.73,0.73,0.69,cloud
12,1240,4,0.56,0.71,213,1,4,3,2,1,5,5,3,0.43,0.71,0.68,0.68,cloud
2,252,2,0.7,0.85,91,5,3,2,2,4,4,3,3,0.57,0.72,0.62,0.78,cloud
2,263,1,0.93,0.8,19,4,5,2,5,4,3,1,3,0.52,0.76,0.67,0.71,backend
16,1661,6,0.6,0.63,412,5,3,2,5,3,4,3,3,0.46,0.68,0.69,0.51,cloud
9,925,5,0.86,0.88,153,2,3,4,1,4,3,3,3,0.63,0.46,0.93,0.82,data
21,2083,6,0.76,0.8,388,1,3,5,5,5,5,5,3,0.64,0.67,0.66,0.59,cloud
17,1747,7,0.85,0.77,342,3,3,4,4,5,4,2,4,0.47,0.56,0.82,0.74,data
5,481,2,0.69,0.76,188,4,5,3,4,3,5,4,1,0.91,0.57,0.68,0.52,mobile
22,2388,7,0.9,0.86,509,3,5,3,5,3,5,1,4,0.75,0.88,0.52,0.52,fullstack
19,1956,5,0.74,0.6,467,3,5,3,4,1,4,5,1,0.88,0.76,0.59,0.56,fullstack
19,1877,5,0.64,0.46,431,1,4,3,4,5,5,2,3,0.55,0.85,0.69,0.72,cloud
13,1463,6,0.87,0.78,334,1,3,4,5,1,4,5,5,0.59,0.7,0.47,0.78,security
3,287,2,0.77,0.87,117,4,1,4,3,1,5,5,2,0.87,0.57,0.4,0.64,mobile
23,2399,8,0.83,0.86,477,3,3,4,4,5,1,4,4,0.68,0.71,0.68,0.73,security
25,2521,7,0.7,0.64,550,3,4,3,5,2,2,4,2,0.82,0.82,0.43,0.68,fullstack
19,1856,7,0.79,0.79,385,3,1,1,4,1,5,3,5,0.88,0.57,0.69,0.61,frontend
13,1293,3,0.61,0.63,282,4,3,5,2,5,2,1,1,0.63,0.57,0.91,0.87,data
2,372,2,0.71,0.76,137,4,4,1,1,3,5,4,4,0.59,0.74,0.75,0.69,cloud
20,2069,7,0.87,0.84,498,2,4,5,3,4,2,2,1,0.55,0.49,0.93,0.84,data
10,1130,2,0.83,0.63,168,2,4,5,1,5,5,5,4,0.4,0.81,0.66,0.56,cloud
22,2216,9,0.56,0.84,519,4,4,4,3,3,4,5,4,0.65,0.69,0.63,0.81,security
11,1141,5,0.76,0.6,271,3,4,5,5,4,4,1,2,0.82,0.8,0.47,0.78,fullstack
16,1769,7,0.8,0.59,410,1,4,1,5,3,3,5,3,0.46,0.94,0.75,0.79,backend
7,825,2,0.75,0.71,140,2,3,4,2,1,5,4,4,0.44,0.73,0.6,0.8,security
12,1171,6,0.67,0.68,238,3,3,4,4,3,1,4,3,0.73,0.48,0.46,0.75,frontend
22,2243,9,0.6,0.63,437,4,1,1,3,1,4,5,1,0.81,0.47,0.44,0.59,mobile
1,286,2,0.82,0.67,89,1,4,5,5,4,4,4,3,0.63,0.7,0.73,0.53,cloud
19,1982,8,0.56,0.78,447,4,1,3,5,1,4,3,4,0.92,0.46,0.47,0.59,frontend
12,1347,5,0.81,0.58,198,3,3,4,4,5,5,1,3,0.61,0.68,0.64,0.73,cloud
7,667,3,0.65,0.73,101,1,4,5,5,4,4,2,2,0.5,0.88,0.78,0.62,backend
6,681,3,0.68,0.58,213,4,4,3,3,5,3,4,3,0.94,0.54,0.43,0.69,mobile
15,1684,7,0.67,0.82,336,5,4,5,4,5,5,3,4,0.58,0.57,0.92,0.79,data
22,2343,9,0.55,0.71,460,3,5,2,5,1,3,3,5,0.75,0.41,0.65,0.64,frontend
24,2591,9,0.62,0.77,565,3,2,2,5,3,2,4,2,0.79,0.53,0.64,0.6,frontend
7,882,4,0.6,0.51,170,4,5,3,1,4,3,3,1,0.45,0.8,0.62,0.52,backend
15,1460,6,0.57,0.7,395,4,5,1,4,5,5,4,4,0.87,0.6,0.59,0.57,mobile
3,478,3,0.7,0.57,97,4,5,5,3,4,2,5,4,0.89,0.55,0.47,0.58,mobile
23,2270,6,0.71,0.6,465,5,3,4,5,4,1,5,2,0.63,0.59,0.85,0.81,data
18,1762,7,0.93,0.74,439,5,4,4,4,5,5,1,3,0.46,0.67,0.67,0.52,cloud
14,1502,6,0.88,0.85,365,3,4,4,1,4,4,3,3,0.51,0.79,0.66,0.74,cloud
3,275,2,0.65,0.63,138,5,1,1,4,5,5,5,1,0.89,0.56,0.69,0.8,mobile
21,2262,9,0.7,0.86,448,5,2,2,4,4,4,3,5,0.72,0.5,0.7,0.6,frontend
11,1258,2,0.77,0.76,280,4,1,3,3,2,2,5,2,0.8,0.53,0.68,0.73,mobile
25,2550,8,0.6,0.54,591,3,5,2,5,2,3,3,3,0.93,0.43,0.65,0.79,frontend
19,1990,6,0.58,0.5,376,3,5,3,5,5,2,4,2,0.83,0.47,0.56,0.63,frontend
10,1022,2,0.61,0.88,210,2,4,3,2,5,5,3,3,0.41,0.73,0.62,0.65,cloud
